event_id,month,start_date,end_date,title_en,title_ru,venue,emirate,category,source_tier,primary_source_url,source_access_date,status,price,age_restriction,cta_type,detail_url,implementation_commit
SEP-6D-01,September,2026-09-05,2026-09-05,"Mina Nader — stand-up comedy at Dubai Opera","Мина Надер — стендап в Dubai Opera","Dubai Opera","Dubai","comedy","T1","https://www.dubaiopera.com/ar/events/comedy/mina-nader",2026-08-05,IMPLEMENTED,"~AED 200","16+","open_source","none","5b19741"
SEP-6D-02,September,2026-09-26,2026-09-26,"Sumukhi Suresh Live in Dubai at Emirates Theatre","Сумухи Суреш — стендап в Emirates Theatre, Молл Эмиратов","Emirates Theatre — Mall of the Emirates","Dubai","comedy","T1","https://dubai.platinumlist.net/event-tickets/106978/sumukhi-suresh-live-in-dubai",2026-08-05,IMPLEMENTED,"AED 100+","14+","ticket","none","5b19741"
SEP-6D-03,September,2026-09-20,2026-09-20,"Radhika Das: Lightfall — UAE debut at Coca-Cola Arena","Радхика Дас: Lightfall — дебют в ОАЭ, Coca-Cola Arena","Coca-Cola Arena","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/radhika-das-lightfall",2026-08-05,IMPLEMENTED,"AED 150-450","all","ticket","none","5b19741"
OCT-06-MARX,October,2026-10-03,2026-10-03,"Richard Marx live at Coca-Cola Arena Dubai (3 October 2026)","Концерт Richard Marx в Coca-Cola Arena Дубай (3 октября 2026)","Coca-Cola Arena","Dubai","concert","T1","https://coca-cola-arena.com/music/1837/richard-marx",2026-08-05,UPDATED-DATE-FIX,"~AED 200+","all","ticket","none","5b19741"
OCT-6D-01,October,2026-10-02,2026-10-02,"Najwa Karam live at Coca-Cola Arena Dubai (2 October)","Концерт Наджва Карам в Coca-Cola Arena Дубай (2 октября)","Coca-Cola Arena","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/najwa-karam",2026-08-05,IMPLEMENTED,"AED 150+","all","ticket","none","5b19741"
OCT-6D-02,October,2026-10-05,2026-10-05,"Shawn Chidiac: Laughing in Translation Remix at Coca-Cola Arena","Шон Шидяк: Laughing in Translation Remix в Coca-Cola Arena","Coca-Cola Arena","Dubai","comedy","T1","https://dubai.platinumlist.net/event-tickets/shawn-chidiac",2026-08-05,IMPLEMENTED,"AED 199","all","ticket","none","5b19741"
OCT-6D-03,October,2026-10-11,2026-10-11,"TJ Monterde & KZ Tandingan — In Between Middle East Tour at Coca-Cola Arena","TJ Monterde & KZ Tandingan — In Between Middle East Tour в Coca-Cola Arena","Coca-Cola Arena","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/tj-monterde-kz-tandingan",2026-08-05,IMPLEMENTED,"AED 199+","all","ticket","none","5b19741"
OCT-6D-04,October,2026-10-18,2026-10-18,"Vir Das — Dubai Comedy Festival 2026 at Coca-Cola Arena","Вир Дас — Dubai Comedy Festival 2026 в Coca-Cola Arena","Coca-Cola Arena","Dubai","comedy","T1","https://dubai.platinumlist.net/event-tickets/vir-das-dubai-comedy-festival",2026-08-05,IMPLEMENTED,"AED 195","all","ticket","none","5b19741"
OCT-6D-05,October,2026-10-03,2026-10-03,"Bohemia Presents Lost Frequencies Season Opening Party at FIVE Palm Jumeirah","Bohemia Presents Lost Frequencies — FIVE Palm Jumeirah","Bohemia Beach Club — FIVE Palm Jumeirah","Dubai","concert","T1","https://www.visitdubai.com/en/festivals-and-events/dubai-events-calendar/lost-frequencies",2026-08-05,IMPLEMENTED,"AED 150-200","21+","ticket","none","5b19741"
OCT-R2,October,2026-10-29,2026-10-29,"Boris Grebenshikov (BG+) live at The Agenda Dubai Media City","Борис Гребенщиков (BG+) в The Agenda Dubai Media City","The Agenda — Dubai Media City","Dubai","concert","T1","https://www.theagenda.ae/",2026-08-06,UPDATED-DATE-FIX,"AED 300+","21+","ticket","none","8bb1e52"
SEP-NEW-DEKA,September,2026-09-26,2026-09-26,"DEKA FIT Dubai 2026 at Coca-Cola Arena","DEKA FIT Dubai 2026 в Coca-Cola Arena","Coca-Cola Arena","Dubai","sports","T1","https://www.visitdubai.com/en/festivals-and-events/dubai-events-calendar/deka-fit-dubai-2026",2026-08-06,IMPLEMENTED,"AED 340-440","all","open_source","none","8bb1e52"
OCT-NEW-DHF,October,2026-10-16,2026-11-01,"Dubai Home Festival 2026","Dubai Home Festival 2026","Citywide — Dubai retail","Dubai","shopping","T1","https://www.visitdubai.com/en/festivals-and-events/dhf",2026-08-06,IMPLEMENTED,"free (retail event)","all","open_source","none","8bb1e52"
OCT-NEW-MARILYNE,October,2026-10-06,2026-10-06,"Marilyne Naaman live at Dubai Opera","Марилин Нааман в Dubai Opera","Dubai Opera","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/marilyn-naaman-at-dubai-opera",2026-08-06,IMPLEMENTED,"AED 295+","all","ticket","none","8bb1e52"
OCT-NEW-MUNAWAR,October,2026-10-11,2026-10-11,"Munawar Faruqui live at Dubai Opera — Dubai Comedy Festival","Мунавар Фаруки в Dubai Opera — Dubai Comedy Festival","Dubai Opera","Dubai","comedy","T1","https://dubai.platinumlist.net/event-tickets/106537/munawar-faruqui-live-at-dubai-comedy-festival",2026-08-06,IMPLEMENTED,"AED 125+","all","ticket","none","8bb1e52"
OCT-NEW-GILLIGAN,October,2026-10-12,2026-10-12,"Mo Gilligan 'The Mo You Know' Tour at Dubai Opera","Mo Gilligan 'The Mo You Know' Tour в Dubai Opera","Dubai Opera","Dubai","comedy","T1","https://www.dubaiopera.com/en/events/comedy/mo-gilligan-live-at-dubai-comedy-festival",2026-08-06,IMPLEMENTED,"AED 250+","16+","open_source","none","8bb1e52"
OCT-NEW-ACHKAR,October,2026-10-17,2026-10-17,"John Achkar 'Feena Nehke' at Dubai Opera — Dubai Comedy Festival","Джон Ашкар 'Feena Nehke' в Dubai Opera — Dubai Comedy Festival","Dubai Opera","Dubai","comedy","T1","https://www.visitdubai.com/en/festivals-and-events/dubai-events-calendar/john-achkar-dcf",2026-08-06,IMPLEMENTED,"AED 185-415","13+","open_source","none","8bb1e52"
OCT-NEW-GIPSY,October,2026-10-22,2026-10-22,"Gipsy Kings Symphonic by André Reyes at Dubai Opera","Gipsy Kings Symphonic by André Reyes в Dubai Opera","Dubai Opera","Dubai","concert","T1","https://www.dubaiopera.com/en-US/product-details?ID=a2b31b4d-45ae-f011-bbd3-002248d321c0",2026-08-06,IMPLEMENTED,"AED 395+","all","open_source","none","8bb1e52"
OCT-NEW-MELADZE,October,2026-10-25,2026-10-25,"Valery Meladze live at The Agenda Dubai","Валерий Меладзе в The Agenda Дубай","The Agenda — Dubai Media City","Dubai","concert","T1","https://dubai.platinumlist.net/event-tickets/92918/meladze-live-at-the-agenda-dubai",2026-08-06,IMPLEMENTED,"AED 300+","21+","ticket","none","8bb1e52"
